"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017000,4,,4,,91,,5,,89,,4,,89,,4,,91,,85,,747,,21,,
017009,4,,4,,92,,5,,90,,4,,89,,4,,93,,87,,306,,33,,
017013,5,,5,,92,,5,,93,,5,,91,,5,,94,,90,,174,,29,,
017014,5,,5,,93,,5,,89,,5,,91,,4,,90,,85,,121,,24,,
017016,4,,4,,92,,4,,88,,4,,88,,3,,86,,87,,173,,25,,
017018,5,,5,,93,,5,,92,,4,,88,,4,,91,,87,,323,,26,,
017020,5,,5,,92,,5,,89,,4,,85,,4,,89,,80,,318,,24,,
017024,4,,4,,90,,4,,88,,4,,86,,3,,85,,81,,392,,26,,
017025,4,,4,,90,,3,,85,,3,,82,,4,,89,,87,,197,,20,,
017026,4,,4,,90,,4,,89,,3,,83,,4,,86,,80,,293,,21,,
017027,4,,4,,92,,5,,90,,4,,89,,4,,87,,80,,547,,27,,
017034,4,,4,,93,,5,,92,,4,,86,,4,,91,,83,,218,,20,,
017035,4,,4,,91,,4,,87,,3,,83,,3,,85,,79,,339,,20,,
017037,3,,3,,87,,2,,82,,4,,86,,3,,86,,76,,191,,24,,
017039,3,,3,,88,,4,,87,,3,,82,,3,,86,,79,,368,,21,,
017048,5,,5,,95,,5,,93,,5,,91,,5,,95,,92,,156,,32,,
017050,Not Available,"10,11",Not Available,"10,11",87,"10,11",Not Available,"10,11",83,"10,11",Not Available,"10,11",83,"10,11",Not Available,"10,11",84,"10,11",79,"10,11",30,"10,11",31,"10,11","10,11"
017051,4,,4,,89,,5,,88,,3,,79,,3,,84,,82,,308,,21,,
017052,4,,4,,89,,4,,87,,3,,81,,4,,88,,82,,271,,29,,
017053,4,,4,,92,,5,,89,,4,,88,,4,,90,,88,,266,,30,,
017054,4,,3,,89,,5,,90,,3,,82,,3,,88,,84,,244,,19,,
017055,5,,5,,93,,5,,90,,3,,83,,5,,92,,84,,227,,27,,
017056,3,,2,,87,,4,,85,,3,,78,,2,,81,,76,,141,,17,,
017058,5,,5,,93,,5,,91,,4,,87,,5,,92,,88,,332,,26,,
017063,Not Available,9,Not Available,9,100,9,Not Available,9,97,9,Not Available,9,89,9,Not Available,9,100,9,100,9,9,9,33,9,9
017066,3,,3,,88,,4,,87,,3,,83,,3,,83,,75,,267,,26,,
017069,4,,4,,92,,5,,90,,4,,88,,4,,90,,84,,326,,30,,
017070,5,,5,,93,,5,,92,,4,,88,,4,,90,,84,,152,,25,,
017071,4,,4,,93,,5,,90,,4,,86,,4,,88,,85,,297,,25,,
017072,5,,5,,94,,5,,93,,4,,87,,4,,88,,85,,97,,26,,
017078,5,,5,,93,,5,,90,,5,,90,,5,,93,,86,,133,,27,,
017079,5,,5,,95,,5,,96,,4,,89,,5,,95,,93,,87,,33,,
017080,4,,4,,92,,5,,89,,4,,89,,4,,90,,85,,230,,21,,
017082,3,,3,,86,,3,,85,,4,,84,,2,,81,,68,,232,,15,,
017084,4,,4,,92,,5,,92,,4,,86,,4,,87,,80,,107,,22,,
017085,3,,3,,90,,4,,87,,4,,85,,2,,82,,80,,182,,26,,
017086,5,11,5,11,94,11,5,11,94,11,5,11,92,11,4,11,89,11,87,11,62,11,25,11,11
017088,5,,5,,93,,5,,90,,4,,87,,4,,91,,90,,128,,31,,
017089,4,,4,,91,,5,,90,,4,,86,,4,,89,,81,,235,,34,,
017090,5,,5,,95,,5,,93,,4,,87,,4,,92,,91,,102,,24,,
017091,4,,4,,91,,4,,88,,4,,86,,5,,94,,83,,107,,52,,
017092,5,11,5,11,95,11,4,11,84,11,5,11,90,11,5,11,97,11,91,11,50,11,33,11,11
017093,4,,4,,92,,5,,91,,4,,85,,4,,92,,82,,120,,24,,
017094,5,,5,,94,,5,,93,,4,,87,,5,,96,,95,,159,,31,,
017095,3,,3,,88,,4,,87,,3,,80,,3,,83,,77,,162,,28,,
017096,4,,4,,90,,5,,88,,3,,82,,4,,90,,80,,130,,23,,
017097,5,,5,,92,,5,,91,,4,,89,,4,,90,,87,,88,,30,,
017100,4,,4,,93,,5,,89,,4,,87,,3,,83,,85,,75,,29,,
017103,Not Available,11,Not Available,11,98,11,Not Available,11,89,11,Not Available,11,87,11,Not Available,11,99,11,100,11,14,11,25,11,11
017104,5,,5,,96,,5,,93,,5,,92,,5,,92,,86,,113,,39,,
017106,5,11,5,11,98,11,5,11,95,11,4,11,88,11,5,11,98,11,92,11,52,11,30,11,11
017107,5,,5,,93,,5,,90,,5,,93,,5,,92,,88,,151,,23,,
017109,Not Available,11,Not Available,11,98,11,Not Available,11,96,11,Not Available,11,95,11,Not Available,11,93,11,94,11,27,11,34,11,11
017112,5,,5,,95,,5,,91,,5,,94,,5,,96,,91,,96,,26,,
017115,4,,4,,91,,5,,89,,4,,87,,4,,89,,76,,115,,26,,
017116,5,,5,,92,,5,,90,,4,,87,,4,,90,,92,,291,,41,,
017117,3,,4,,91,,4,,89,,3,,83,,2,,84,,82,,186,,42,,
017118,4,,4,,89,,5,,87,,4,,88,,4,,89,,76,,170,,24,,
017119,4,,4,,90,,4,,86,,4,,86,,3,,87,,81,,502,,26,,
017121,5,,5,,94,,5,,94,,4,,87,,5,,94,,94,,159,,33,,
017123,5,,5,,92,,5,,90,,4,,88,,4,,90,,87,,149,,28,,
017124,5,,5,,93,,5,,92,,5,,90,,4,,90,,88,,125,,46,,
017125,4,,4,,91,,5,,89,,4,,86,,4,,89,,83,,311,,27,,
017128,5,,5,,93,,5,,94,,4,,88,,5,,92,,89,,475,,28,,
017129,4,,4,,92,,5,,88,,4,,89,,4,,88,,89,,284,,27,,
017132,4,,4,,92,,5,,88,,3,,82,,4,,86,,77,,81,,19,,
017134,4,,4,,92,,5,,92,,4,,89,,4,,90,,87,,345,,30,,
017135,5,11,5,11,95,11,5,11,94,11,5,11,94,11,5,11,94,11,89,11,56,11,34,11,11
017136,3,,2,,85,,3,,84,,3,,83,,3,,80,,77,,77,,36,,
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017142,5,,5,,94,,5,,91,,5,,90,,4,,88,,85,,121,,25,,
017143,5,,4,,91,,5,,90,,5,,90,,4,,91,,87,,132,,27,,
017145,4,,4,,92,,5,,92,,4,,89,,4,,92,,85,,316,,25,,
017146,Not Available,11,Not Available,11,96,11,Not Available,11,96,11,Not Available,11,91,11,Not Available,11,94,11,86,11,36,11,30,11,11
017147,5,,5,,93,,5,,89,,5,,91,,4,,88,,80,,87,,32,,
017148,4,,4,,91,,5,,88,,4,,88,,4,,90,,86,,204,,22,,
017149,4,,4,,91,,5,,89,,4,,88,,4,,89,,80,,348,,22,,
017151,4,,4,,92,,5,,91,,4,,86,,4,,91,,84,,146,,28,,
017152,5,,5,,94,,5,,90,,5,,90,,5,,91,,93,,91,,26,,
017153,4,,4,,92,,5,,91,,4,,84,,4,,88,,79,,302,,20,,
017154,4,,4,,92,,5,,90,,3,,82,,5,,94,,83,,116,,23,,
017155,4,,4,,90,,4,,84,,4,,87,,4,,87,,80,,305,,28,,
017157,4,,4,,91,,5,,89,,4,,85,,4,,87,,82,,125,,23,,
017158,4,,4,,91,,5,,89,,4,,87,,4,,88,,82,,293,,27,,
017159,4,,4,,91,,5,,88,,3,,82,,4,,90,,83,,287,,24,,
017160,4,,4,,90,,4,,89,,4,,85,,4,,88,,81,,88,,32,,
017161,3,,4,,90,,4,,84,,3,,80,,2,,79,,78,,212,,20,,
017163,4,,4,,90,,5,,89,,4,,89,,4,,86,,81,,128,,25,,
017164,4,,4,,91,,5,,88,,3,,81,,3,,87,,84,,308,,30,,
017165,5,,5,,93,,5,,91,,4,,86,,5,,92,,87,,254,,24,,
017166,4,,4,,89,,5,,93,,3,,82,,3,,86,,79,,118,,24,,
017167,4,,5,,95,,5,,91,,3,,78,,4,,91,,79,,76,,19,,
017168,4,,4,,89,,4,,86,,5,,91,,3,,87,,76,,194,,22,,
017170,5,,5,,93,,5,,88,,4,,87,,4,,91,,88,,161,,24,,
017171,4,,4,,91,,5,,90,,4,,86,,4,,88,,81,,231,,28,,
017175,4,,4,,91,,5,,90,,4,,85,,4,,88,,85,,224,,25,,
017176,3,,3,,87,,2,,77,,4,,87,,2,,78,,70,,103,,17,,
017177,4,,4,,92,,4,,89,,5,,90,,4,,92,,82,,174,,25,,
017178,5,,5,,94,,5,,90,,4,,85,,4,,92,,84,,336,,23,,
017179,4,,4,,89,,4,,86,,3,,83,,3,,86,,76,,330,,20,,
017180,3,,3,,88,,3,,84,,3,,81,,3,,81,,76,,170,,22,,
017182,5,11,5,11,96,11,5,11,93,11,4,11,86,11,5,11,94,11,86,11,50,11,22,11,11
017300,4,,4,,92,,5,,89,,4,,88,,4,,90,,88,,362,,26,,
017305,4,,4,,91,,4,,87,,4,,85,,4,,90,,87,,301,,25,,
017307,4,,4,,92,,4,,88,,5,,91,,4,,92,,83,,122,,21,,
017319,4,,4,,90,,4,,85,,3,,82,,3,,85,,76,,302,,22,,
017320,5,,5,,93,,5,,90,,4,,88,,4,,90,,88,,367,,25,,
017323,5,,4,,91,,5,,92,,5,,91,,4,,90,,86,,90,,42,,
017324,4,,4,,90,,5,,88,,4,,86,,4,,90,,81,,294,,29,,
017326,4,,4,,91,,5,,88,,5,,91,,3,,88,,81,,333,,34,,
017327,4,,4,,91,,5,,89,,4,,85,,4,,89,,86,,198,,31,,
017328,5,,5,,94,,5,,90,,5,,90,,5,,95,,89,,149,,27,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,11,5,11,95,11,5,11,91,11,4,11,89,11,4,11,93,11,93,11,68,11,20,11,11
017879,5,11,5,11,96,11,5,11,89,11,5,11,92,11,5,11,92,11,85,11,64,11,28,11,11
017880,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017881,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027001,3,,4,,93,,3,,86,,3,,81,,3,,84,,85,,108,,17,,
027002,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027006,Not Available,11,Not Available,11,85,11,Not Available,11,89,11,Not Available,11,87,11,Not Available,11,83,11,86,11,35,11,20,11,11
027008,3,,3,,85,,4,,84,,3,,79,,3,,82,,81,,197,,18,,
027009,Not Available,11,Not Available,11,92,11,Not Available,11,88,11,Not Available,11,83,11,Not Available,11,100,11,97,11,14,11,18,11,11
027010,Not Available,11,Not Available,11,92,11,Not Available,11,87,11,Not Available,11,86,11,Not Available,11,90,11,80,11,34,11,21,11,11
027014,Not Available,11,Not Available,11,87,11,Not Available,11,84,11,Not Available,11,94,11,Not Available,11,86,11,87,11,26,11,21,11,11
027022,3,11,3,11,87,11,4,11,86,11,4,11,88,11,2,11,82,11,73,11,69,11,31,11,11
027032,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027034,3,11,3,11,86,11,5,11,87,11,3,11,79,11,2,11,75,11,71,11,51,11,19,11,11
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,84,11,Not Available,11,82,11,Not Available,11,72,11,Not Available,11,85,11,67,11,22,11,19,11,11
027038,4,11,4,11,91,11,5,11,91,11,3,11,80,11,4,11,90,11,89,11,59,11,15,11,11
037015,4,,4,,89,,4,,86,,3,,78,,3,,86,,77,,1400,,23,,
037016,3,,3,,89,,3,,82,,2,,70,,3,,82,,71,,183,,18,,
037024,4,,4,,91,,4,,87,,3,,76,,4,,88,,77,,277,,27,,
037027,3,11,4,11,89,11,3,11,85,11,1,11,64,11,3,11,80,11,75,11,50,11,15,11,11
037030,4,,4,,87,,5,,86,,3,,79,,4,,86,,83,,84,,29,,
037036,3,,3,,87,,4,,88,,3,,81,,3,,82,,76,,79,,29,,
037037,4,,4,,91,,3,,85,,3,,82,,4,,90,,80,,327,,26,,
037042,4,,4,,92,,4,,84,,4,,84,,4,,91,,85,,94,,28,,
037047,4,11,4,11,93,11,3,11,82,11,4,11,85,11,3,11,88,11,88,11,64,11,28,11,11
037050,5,,5,,94,,5,,91,,4,,89,,4,,91,,89,,148,,31,,
037057,3,,3,,89,,4,,87,,4,,85,,2,,82,,72,,132,,38,,
037068,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037070,2,,2,,86,,2,,81,,3,,79,,2,,83,,76,,319,,30,,
037099,3,,4,,89,,2,,84,,3,,81,,3,,88,,71,,80,,21,,
037106,3,,3,,88,,4,,85,,3,,79,,3,,83,,75,,263,,27,,
037112,4,11,4,11,92,11,5,11,95,11,3,11,83,11,5,11,96,11,87,11,52,11,28,11,11
037114,4,,4,,92,,4,,84,,4,,89,,4,,89,,87,,154,,32,,
037118,Not Available,9,Not Available,9,99,9,Not Available,9,98,9,Not Available,9,98,9,Not Available,9,97,9,98,9,1,9,25,9,9
037125,Not Available,11,Not Available,11,92,11,Not Available,11,88,11,Not Available,11,81,11,Not Available,11,96,11,93,11,32,11,22,11,11
037129,3,,3,,87,,3,,86,,2,,74,,5,,94,,88,,92,,40,,
037130,4,,4,,90,,4,,87,,4,,84,,4,,88,,86,,382,,39,,
037132,2,,2,,83,,2,,78,,2,,73,,2,,78,,70,,215,,12,,
037139,4,,4,,88,,5,,88,,4,,85,,4,,86,,81,,153,,31,,
037144,3,,3,,89,,3,,84,,2,,75,,3,,84,,79,,141,,25,,
037154,3,,3,,87,,3,,83,,3,,80,,3,,83,,79,,255,,27,,
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037185,4,,4,,89,,4,,87,,3,,79,,3,,85,,78,,136,,26,,
037188,4,,4,,91,,5,,90,,3,,83,,4,,92,,88,,81,,26,,
037192,3,,3,,87,,3,,83,,3,,82,,2,,83,,76,,296,,26,,
037199,4,,4,,92,,5,,91,,4,,85,,4,,91,,82,,308,,28,,
037202,3,,2,,85,,3,,82,,3,,76,,2,,82,,74,,237,,22,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,9,Not Available,9,96,9,Not Available,9,66,9,Not Available,9,63,9,Not Available,9,100,9,6,9,3,9,25,9,9
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,Not Available,11,Not Available,11,85,11,Not Available,11,83,11,Not Available,11,64,11,Not Available,11,76,11,62,11,23,11,24,11,11
037213,4,,4,,90,,4,,87,,3,,76,,4,,88,,85,,354,,31,,
037215,3,,4,,88,,3,,83,,3,,79,,3,,83,,74,,95,,27,,
037217,4,,3,,87,,4,,83,,4,,86,,3,,86,,80,,216,,43,,
037220,3,,3,,87,,4,,85,,3,,77,,2,,82,,68,,162,,22,,
037221,4,,3,,88,,5,,90,,3,,83,,3,,84,,77,,126,,29,,
037226,3,,3,,86,,3,,82,,2,,75,,3,,85,,80,,319,,18,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037229,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037230,4,,5,,92,,4,,89,,3,,80,,5,,94,,80,,128,,39,,
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,4,11,4,11,91,11,4,11,87,11,5,11,90,11,4,11,93,11,71,11,42,11,16,11,11
037233,3,11,3,11,86,11,3,11,84,11,2,11,73,11,2,11,88,11,64,11,48,11,19,11,11
037234,3,,3,,87,,3,,80,,2,,71,,3,,80,,66,,212,,17,,
037235,2,,2,,84,,2,,81,,2,,73,,1,,78,,66,,312,,17,,
037239,4,,4,,92,,4,,87,,4,,85,,4,,92,,90,,87,,13,,
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,86,9,Not Available,9,73,9,Not Available,9,66,9,Not Available,9,83,9,47,9,6,9,6,9,9
037245,2,,2,,86,,2,,81,,2,,70,,2,,80,,67,,228,,26,,
037246,3,11,3,11,88,11,4,11,87,11,1,11,61,11,3,11,83,11,75,11,67,11,21,11,11
037247,4,,4,,88,,3,,83,,3,,82,,4,,87,,78,,166,,31,,
037248,3,,3,,85,,3,,82,,2,,74,,2,,76,,73,,206,,28,,
037249,2,,3,,88,,2,,79,,2,,75,,2,,80,,72,,125,,15,,
037250,3,,3,,87,,2,,74,,3,,82,,3,,83,,74,,97,,20,,
037251,Not Available,11,Not Available,11,97,11,Not Available,11,99,11,Not Available,11,89,11,Not Available,11,99,11,83,11,11,11,38,11,11
037252,4,,4,,90,,4,,89,,3,,80,,3,,84,,81,,148,,43,,
037253,3,,3,,86,,2,,82,,3,,76,,2,,76,,70,,117,,17,,
037254,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037257,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037258,3,,3,,89,,5,,89,,2,,71,,3,,84,,73,,78,,20,,
037260,3,,3,,86,,3,,80,,3,,76,,3,,79,,76,,236,,23,,
037261,Not Available,11,Not Available,11,82,11,Not Available,11,81,11,Not Available,11,74,11,Not Available,11,72,11,48,11,14,11,29,11,11
037262,2,,3,,87,,2,,81,,2,,74,,2,,81,,72,,228,,17,,
037263,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037264,2,,2,,87,,2,,82,,2,,70,,2,,77,,77,,237,,32,,
037265,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037269,3,,3,,85,,3,,84,,2,,73,,2,,80,,71,,103,,17,,
037271,2,,2,,80,,2,,79,,1,,65,,1,,76,,65,,141,,24,,
037273,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,5,,5,,92,,5,,89,,4,,87,,4,,88,,83,,153,,30,,
037281,4,,4,,89,,4,,86,,3,,83,,3,,85,,78,,231,,29,,
037282,3,,3,,88,,3,,82,,2,,75,,2,,84,,76,,72,,17,,
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,9,Not Available,9,65,9,Not Available,9,33,9,Not Available,9,79,9,Not Available,9,23,9,21,9,4,9,11,9,9
037288,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037290,4,11,3,11,90,11,5,11,91,11,3,11,78,11,4,11,89,11,83,11,59,11,15,11,11
037295,2,,2,,82,,2,,73,,3,,77,,1,,75,,66,,188,,19,,
037297,3,11,3,11,86,11,3,11,79,11,4,11,87,11,2,11,81,11,80,11,41,11,13,11,11
037298,4,,4,,91,,5,,91,,3,,83,,4,,92,,87,,169,,24,,
037299,Not Available,11,Not Available,11,89,11,Not Available,11,83,11,Not Available,11,70,11,Not Available,11,87,11,87,11,39,11,23,11,11
037402,4,,4,,91,,4,,87,,4,,84,,3,,86,,82,,318,,32,,
037403,3,,3,,89,,3,,86,,3,,82,,3,,86,,75,,161,,32,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,Not Available,11,Not Available,11,87,11,Not Available,11,86,11,Not Available,11,84,11,Not Available,11,85,11,83,11,35,11,10,11,11
037410,2,,1,,80,,2,,78,,2,,69,,1,,75,,65,,117,,16,,
037412,5,,5,,93,,5,,92,,5,,92,,5,,94,,87,,81,,27,,
037413,2,,2,,81,,2,,77,,3,,78,,2,,76,,74,,94,,38,,
037414,2,,2,,83,,2,,81,,1,,67,,1,,78,,63,,239,,15,,
037416,4,,4,,92,,5,,90,,4,,87,,4,,89,,86,,215,,34,,
037417,4,,3,,88,,4,,85,,3,,83,,4,,91,,80,,131,,22,,
037418,3,,3,,88,,3,,83,,3,,76,,3,,84,,78,,143,,19,,
037419,Not Available,11,Not Available,11,90,11,Not Available,11,86,11,Not Available,11,73,11,Not Available,11,83,11,72,11,23,11,29,11,11
037421,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037422,2,,2,,80,,2,,75,,1,,65,,1,,75,,63,,87,,11,,
037423,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037424,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037425,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037426,Not Available,11,Not Available,11,84,11,Not Available,11,82,11,Not Available,11,59,11,Not Available,11,80,11,81,11,31,11,19,11,11
037431,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037432,Not Available,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,76,11,Not Available,11,88,11,79,11,15,11,13,11,11
037433,3,,4,,91,,4,,86,,2,,72,,3,,87,,79,,123,,20,,
037436,3,,3,,90,,4,,90,,2,,75,,4,,92,,85,,71,,20,,
037437,3,,3,,88,,2,,80,,4,,87,,2,,83,,74,,95,,31,,
037438,4,,4,,89,,4,,85,,3,,82,,4,,85,,78,,144,,26,,
037439,3,,3,,88,,4,,85,,3,,76,,2,,78,,79,,118,,27,,
037441,2,11,1,11,80,11,2,11,72,11,2,11,68,11,1,11,75,11,71,11,53,11,17,11,11
037442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037443,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037445,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037446,4,,4,,92,,4,,88,,3,,76,,4,,93,,81,,113,,30,,
037447,4,,4,,90,,4,,85,,4,,84,,3,,87,,81,,155,,33,,
037450,4,,4,,89,,4,,85,,3,,82,,3,,86,,83,,304,,32,,
037451,4,,4,,90,,4,,86,,4,,87,,3,,86,,79,,140,,30,,
037452,2,11,2,11,83,11,2,11,76,11,3,11,83,11,1,11,82,11,78,11,55,11,33,11,11
037453,Not Available,11,Not Available,11,72,11,Not Available,11,59,11,Not Available,11,72,11,Not Available,11,65,11,53,11,17,11,13,11,11
037454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037455,Not Available,11,Not Available,11,96,11,Not Available,11,97,11,Not Available,11,85,11,Not Available,11,98,11,76,11,19,11,28,11,11
037456,5,,5,,92,,5,,92,,4,,88,,5,,93,,88,,450,,43,,
037458,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037459,Not Available,11,Not Available,11,92,11,Not Available,11,94,11,Not Available,11,87,11,Not Available,11,87,11,83,11,20,11,12,11,11
037462,Not Available,11,Not Available,11,82,11,Not Available,11,79,11,Not Available,11,63,11,Not Available,11,54,11,66,11,13,11,11,11,11
037463,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037464,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037468,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037469,Not Available,11,Not Available,11,87,11,Not Available,11,85,11,Not Available,11,56,11,Not Available,11,82,11,81,11,17,11,17,11,11
