"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
059129,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059130,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059132,1,,2,,81,,1,,73,,1,,67,,1,,69,,60,,140,,21,,
059133,Not Available,11,Not Available,11,78,11,Not Available,11,70,11,Not Available,11,68,11,Not Available,11,75,11,61,11,13,11,14,11,11
059134,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059135,Not Available,9,Not Available,9,80,9,Not Available,9,76,9,Not Available,9,68,9,Not Available,9,46,9,53,9,8,9,14,9,9
059137,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059138,3,,3,,87,,3,,87,,4,,85,,3,,79,,81,,81,,16,,
059139,Not Available,11,Not Available,11,88,11,Not Available,11,87,11,Not Available,11,81,11,Not Available,11,76,11,82,11,32,11,16,11,11
059140,Not Available,11,Not Available,11,92,11,Not Available,11,91,11,Not Available,11,97,11,Not Available,11,89,11,84,11,31,11,21,11,11
059141,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059142,Not Available,11,Not Available,11,97,11,Not Available,11,98,11,Not Available,11,93,11,Not Available,11,97,11,97,11,33,11,21,11,11
059143,2,,1,,77,,2,,75,,2,,68,,1,,66,,56,,203,,23,,
059144,Not Available,11,Not Available,11,87,11,Not Available,11,90,11,Not Available,11,86,11,Not Available,11,87,11,73,11,19,11,15,11,11
059145,3,,3,,87,,3,,83,,3,,78,,3,,82,,74,,286,,23,,
059147,Not Available,9,Not Available,9,99,9,Not Available,9,98,9,Not Available,9,79,9,Not Available,9,98,9,97,9,4,9,14,9,9
059153,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059156,Not Available,11,Not Available,11,91,11,Not Available,11,78,11,Not Available,11,73,11,Not Available,11,100,11,68,11,14,11,12,11,11
059158,Not Available,11,Not Available,11,97,11,Not Available,11,89,11,Not Available,11,100,11,Not Available,11,96,11,84,11,17,11,12,11,11
059159,2,11,2,11,81,11,2,11,73,11,3,11,76,11,1,11,82,11,66,11,60,11,23,11,11
059160,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059161,3,11,3,11,90,11,4,11,87,11,2,11,75,11,2,11,77,11,77,11,48,11,18,11,11
059162,Not Available,11,Not Available,11,90,11,Not Available,11,86,11,Not Available,11,84,11,Not Available,11,97,11,93,11,22,11,15,11,11
059163,Not Available,11,Not Available,11,94,11,Not Available,11,86,11,Not Available,11,88,11,Not Available,11,78,11,63,11,15,11,44,11,11
059164,Not Available,11,Not Available,11,93,11,Not Available,11,94,11,Not Available,11,76,11,Not Available,11,95,11,79,11,19,11,29,11,11
059165,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059166,3,11,2,11,82,11,3,11,80,11,3,11,76,11,2,11,74,11,70,11,64,11,28,11,11
059167,Not Available,11,Not Available,11,90,11,Not Available,11,80,11,Not Available,11,76,11,Not Available,11,91,11,65,11,13,11,9,11,11
059168,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059169,2,,2,,82,,2,,78,,2,,74,,1,,77,,72,,231,,19,,
059171,Not Available,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,84,11,90,11,18,11,16,11,11
059173,2,,2,,77,,3,,80,,3,,80,,1,,73,,62,,251,,20,,
059174,2,,2,,83,,3,,83,,3,,79,,1,,72,,67,,111,,14,,
059175,3,,3,,88,,3,,85,,3,,82,,3,,86,,80,,262,,35,,
059178,Not Available,11,Not Available,11,83,11,Not Available,11,77,11,Not Available,11,87,11,Not Available,11,73,11,78,11,27,11,23,11,11
059180,2,,2,,80,,2,,78,,2,,74,,1,,76,,60,,118,,16,,
059182,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059183,Not Available,9,Not Available,9,86,9,Not Available,9,82,9,Not Available,9,77,9,Not Available,9,80,9,61,9,9,9,16,9,9
059184,Not Available,11,Not Available,11,98,11,Not Available,11,98,11,Not Available,11,96,11,Not Available,11,94,11,100,11,11,11,18,11,11
059185,Not Available,11,Not Available,11,96,11,Not Available,11,94,11,Not Available,11,91,11,Not Available,11,96,11,91,11,35,11,17,11,11
059187,Not Available,9,Not Available,9,96,9,Not Available,9,93,9,Not Available,9,79,9,Not Available,9,100,9,100,9,7,9,14,9,9
059190,Not Available,11,Not Available,11,78,11,Not Available,11,81,11,Not Available,11,68,11,Not Available,11,78,11,77,11,20,11,19,11,11
059192,Not Available,11,Not Available,11,89,11,Not Available,11,74,11,Not Available,11,77,11,Not Available,11,64,11,55,11,12,11,19,11,11
059193,Not Available,11,Not Available,11,88,11,Not Available,11,83,11,Not Available,11,76,11,Not Available,11,89,11,76,11,34,11,17,11,11
059195,Not Available,9,Not Available,9,80,9,Not Available,9,85,9,Not Available,9,92,9,Not Available,9,73,9,98,9,8,9,11,9,9
059197,Not Available,11,Not Available,11,80,11,Not Available,11,69,11,Not Available,11,74,11,Not Available,11,66,11,59,11,12,11,21,11,11
059198,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059200,Not Available,11,Not Available,11,90,11,Not Available,11,90,11,Not Available,11,81,11,Not Available,11,89,11,77,11,30,11,17,11,11
059201,Not Available,9,Not Available,9,89,9,Not Available,9,88,9,Not Available,9,99,9,Not Available,9,73,9,73,9,7,9,5,9,9
059202,Not Available,11,Not Available,11,93,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,92,11,79,11,17,11,11,11,11
059205,Not Available,9,Not Available,9,69,9,Not Available,9,78,9,Not Available,9,100,9,Not Available,9,88,9,54,9,6,9,13,9,9
059206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059207,Not Available,11,Not Available,11,91,11,Not Available,11,79,11,Not Available,11,98,11,Not Available,11,98,11,93,11,20,11,14,11,11
059208,Not Available,11,Not Available,11,96,11,Not Available,11,95,11,Not Available,11,97,11,Not Available,11,96,11,92,11,13,11,16,11,11
059209,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059210,4,,4,,92,,4,,88,,4,,88,,4,,89,,81,,118,,20,,
